ID Year Sex Age Mass BL TL Phi RhoZ FitnessTot
CN07-143 2007 Female J 24 0.093 46 0 0 0
CN07-144 2007 Male J 22 0.085 43 0 0 0
CN07-145 2007 Male J 28 0.1 47 0 0 0
CN07-148 2007 Male J 24 0.105 55 0 0 0
CN07-149 2007 Male J 33 0.103 51 0 0 0
CN07-151 2007 Male J 19 0.093 45 0 0 0
CN07-152 2007 Male J 24.5 0.0915 47.5 0 0 0
CN07-153 2007 Male J 23.5 0.0895 48.5 0 0 0
CN07-154 2007 Male J 32 0.111 52 0 0 0
CN07-156 2007 Female J 24 0.092 45 0 0 0
CN07-157 2007 Female J 26 0.098 48 0 0 0
CN07-158 2007 Female J 27 0.094 46 1 2 3
CN07-158 2008 Female A 33.6327751529717 0.114 57 0 0 0
CN07-160 2008 Female A 35.6728623832368 0.113 56.3333333333333 0 0 0
CN07-160 2007 Female J 26 0.1 49 1 2 3
CN07-161 2007 Female J 28 0.096 51 0 0 0
CN07-164 2007 Male J 25 0.095 46 0 0 0
CN07-165 2008 Female A 36.3026843956826 0.110666666666667 57.3333333333333 0 0 0
CN07-165 2007 Female J 26 0.099 47 1 3 4
CN07-166 2008 Female A 29.6327751529717 0.109 53 0 0 0
CN07-166 2007 Female J 24 0.098 47 1 0 1
CN07-167 2007 Female J 27 0.098 41 0 0 0
CN07-169 2007 Female J 28 0.096 52 0 0 0
CN07-170 2007 Female J 27 0.109 57 0 0 0
CN07-173 2007 Female J 24 0.096 44 0 0 0
CN07-175 2007 Female J 21 0.094 42 0 0 0
CN07-177 2007 Male J 31 0.105 56 0 0 0
CN07-178 2007 Female J 33 0.1095 54 1 3 4
CN07-178 2008 Female A 41.8494019916761 0.119 57 0 0 0
CN07-179 2007 Male J 32.5 0.1105 56.5 0 0 0
CN07-182 2007 Male J 32 0.104 54 0 0 0
CN07-183 2007 Male J 26 0.099 58 0 0 0
CN07-184 2007 Female J 28 0.1 49 0 0 0
CN07-185 2007 Male J 23 0.097 48 0 0 0
